y,NHITS
20.17726844,
23.30686758,
25.22301031,
25.30824299,
24.87509934,
23.65829314,
22.06498992,
20.30008974,
18.53669878,
17.83013742,
17.46865391,
17.3535645,
17.65143994,
17.80336948,
18.08730649,
18.64011315,
19.21714547,
20.41285237,
16.5,
16.52173913,
17.29545455,
18.11363636,
19.0,
19.14285714,
19.25,
19.82142857,
20.0,
20.0,
19.19565217,
18.88095238,
18.36363636,
17.32608696,
16.36904762,
15.02173913,
14.0,
14.0,
13.52272727,
13.35714286,
12.71428571,
12.39130435,
11.92708333,
11.75,
11.31521739,
11.0,
10.59090909,
10.0,
9.80952381,
9.045454545,
8.75,
8.75,
8.75,
8.431818182,
7.727272727,
7.5,
7.260869565,
7.25,
7.022727273,
6.75,
6.75,
6.75,
6.94047619,
7.761363636,
9.663043478,
11.32608696,
12.72727273,
13.34090909,
14.04545455,
14.59090909,
19.08333333,14.934834480285645
22.75,15.612554550170898
28.17045455,17.04081916809082
33.04347826,17.704668045043945
43.26086957,18.672712326049805
56.425,19.2251033782959
71.08695652,19.54770851135254
75.80434783,19.966320037841797
74.29545455,16.6534366607666
73.0,17.184762954711914
73.0,16.63674545288086
73.0,17.398176193237305
